county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Macon,14298,13251,176,195,677,648,1462,1225,1925,2208,9.1,18.1,33.8,24.9,5.5,5.2,3.4,11771,1380,1984,16.8
Madison,28063,29277,355,440,1599,1586,2374,2315,4123,4886,6.3,11.5,37.8,19.7,8.1,9.3,7.4,28306,2364,2613,8
Marion,8672,8414,110,123,463,466,694,617,1349,1647,5.1,17.8,37,22.4,5.2,7,5.5,8439,970,982,10
Meriwether,21339,21031,414,457,1093,1008,1821,1733,3708,4186,7,15.8,39.2,22.1,5.2,6.4,4.3,20866,2722,2013,8.1
Miller,6004,5833,171,192,317,309,465,434,1163,1245,5.3,12.6,39,22.9,8.8,7.6,3.7,5705,604,728,5.7
Mitchell,23078,22333,379,442,1221,1141,2104,1920,3184,3626,5.9,17.5,38.5,19,6.8,8.3,4,20101,2154,3284,15.2
Monroe,26385,27181,477,558,1445,1455,2286,2313,4036,4908,3.6,12.2,35.8,19.1,6.5,12.3,10.4,25637,1526,1889,9.4
Montgomery,8887,9068,86,113,448,438,989,1067,1239,1518,6.7,12,38.3,21,6.5,8.8,6.7,8175,790,803,6.6
Morgan,17801,18381,283,340,1041,1038,1338,1377,2984,3594,3.6,9.9,34.7,21.6,8.2,13.5,8.6,17775,946,1428,5.7
Murray,39317,39809,345,467,2328,2368,3594,3332,4689,5775,12.4,20,37.1,16.8,4.1,5.6,4,38941,2578,4448,7.4
Muscogee,198944,193766,3017,3188,10428,9922,23050,19605,22781,25418,4.1,8.5,27.7,25.1,8.6,16,9.9,190674,18851,22444,10
Newton,100973,107935,1074,1270,6488,6931,9478,10224,11033,13756,4.2,10.6,32.6,25.2,7.5,12.6,7.2,103499,7726,9602,9
Oconee,33511,38012,505,573,2379,2719,2643,3010,4150,5661,1.5,4.1,21,17.8,7.4,23,25.2,35713,802,1674,4.4
